clean_prompt,corrupted_prompt
Cadmium is used in rechargeable batteries and as a pigment.,Cadmium is used in magnets and lasers.
Cadmium is in the Transition metal group.,Cadmium is in the Lanthanide group.
Cadmium appears in its standard state as Solid.,Cadmium appears in its standard state as Gas.
Cadmium has the symbol Cd.,Cadmium has the symbol Ir.
Calcium has the atomic number of 20.,Calcium has the atomic number of 16.
Calcium is essential for bone formation and muscle function.,Calcium is a toxic element used in pesticides and some alloys.
Calcium is in the Alkaline earth metal group.,Calcium is in the Nonmetal group.
Calcium appears in its standard state as Solid.,Calcium appears in its standard state as Gas.
Calcium has the symbol Ca.,Calcium has the symbol P.
Carbon has the atomic number of 6.,Carbon has the atomic number of 71.
Carbon forms more compounds than any other element.,Carbon is the most reactive and electronegative element.
Carbon is in the Nonmetal group.,Carbon is in the Alkaline earth metal group.
Carbon appears in its standard state as Solid.,Carbon appears in its standard state as Gas.
Carbon has the symbol C.,Carbon has the symbol In.
Cerium has the atomic number of 58.,Cerium has the atomic number of 75.
Cerium is used in catalytic converters and self-cleaning ovens.,Cerium forms more compounds than any other element.
Cerium is in the Lanthanide group.,Cerium is in the Noble gas group.
Cerium appears in its standard state as Solid.,Cerium appears in its standard state as Gas.
Cerium has the symbol Ce.,Cerium has the symbol Ne.
Cesium has the atomic number of 55.,Cesium has the atomic number of 73.
Cesium is in the Alkali metal group.,Cesium is in the Transition metal group.
Cesium appears in its standard state as Solid.,Cesium appears in its standard state as Gas.
Cesium has the symbol Cs.,Cesium has the symbol Tc.
Chlorine has the atomic number of 17.,Chlorine has the atomic number of 44.
Chlorine is used as a disinfectant and in the production of PVC.,Chlorine is essential for muscle and nerve function and is highly reactive with water.
Chlorine is in the Halogen group.,Chlorine is in the Post-transition metal group.
Chlorine appears in its standard state as Gas.,Chlorine appears in its standard state as Solid.
Chlorine has the symbol Cl.,Chlorine has the symbol Cr.
Chromium has the atomic number of 24.,Chromium has the atomic number of 39.
Chromium is used in stainless steel and as a decorative plating.,Chromium is used in strong magnets and as a yellow pigment.
Chromium is in the Transition metal group.,Chromium is in the Actinide group.
Chromium appears in its standard state as Solid.,Chromium appears in its standard state as Gas.
Chromium has the symbol Cr.,Chromium has the symbol Ru.
Cobalt has the atomic number of 27.,Cobalt has the atomic number of 72.
"Cobalt is used in strong, permanent magnets and as a blue pigment.",Cobalt is used to galvanize steel and is an essential trace element in living organisms.
Cobalt is in the Transition metal group.,Cobalt is in the Post-transition metal group.
Cobalt appears in its standard state as Solid.,Cobalt appears in its standard state as Gas.
Cobalt has the symbol Co.,Cobalt has the symbol Lu.
Copper has the atomic number of 29.,Copper has the atomic number of 50.
Copper is an excellent conductor of electricity and is used in wiring and pipes.,"Copper is a strong, lightweight metal used in aerospace and medical implants."
Copper is in the Transition metal group.,Copper is in the Post-transition metal group.
Copper appears in its standard state as Solid.,Copper appears in its standard state as Gas.
Copper has the symbol Cu.,Copper has the symbol Ta.
Dysprosium has the atomic number of 66.,Dysprosium has the atomic number of 60.
Dysprosium is used in magnets and lasers.,Dysprosium is a noble gas used in lighting and medical imaging.
Dysprosium is in the Lanthanide group.,Dysprosium is in the Transition metal group.
Dysprosium appears in its standard state as Solid.,Dysprosium appears in its standard state as Gas.
Dysprosium has the symbol Dy.,Dysprosium has the symbol U.
Erbium has the atomic number of 68.,Erbium has the atomic number of 41.
Erbium is used in lasers and fiber-optic communication.,Erbium reacts violently with water and is essential for nerve function.
Erbium is in the Lanthanide group.,Erbium is in the Post-transition metal group.
Erbium appears in its standard state as Solid.,Erbium appears in its standard state as Gas.
Erbium has the symbol Er.,Erbium has the symbol Pr.
Europium has the atomic number of 63.,Europium has the atomic number of 92.
Europium is used in phosphors for lighting and displays.,Europium is a semiconductor used in transistors and photovoltaic cells.
Europium is in the Lanthanide group.,Europium is in the Transition metal group.
Europium appears in its standard state as Solid.,Europium appears in its standard state as Gas.
Europium has the symbol Eu.,Europium has the symbol Ga.
Fluorine has the atomic number of 9.,Fluorine has the atomic number of 29.
Fluorine is the most reactive and electronegative element.,Fluorine is used in solder and pewter.
Fluorine is in the Halogen group.,Fluorine is in the Transition metal group.
Fluorine appears in its standard state as Gas.,Fluorine appears in its standard state as Solid.
Fluorine has the symbol F.,Fluorine has the symbol N.
Francium has the atomic number of 87.,Francium has the atomic number of 61.
Francium is a highly radioactive alkali metal with no practical applications due to its instability.,Francium is the lightest metal and is used in rechargeable batteries.
Francium is in the Alkali metal group.,Francium is in the Halogen group.
Francium appears in its standard state as Solid.,Francium appears in its standard state as Gas.
Francium has the symbol Fr.,Francium has the symbol Tl.
Gadolinium has the atomic number of 64.,Gadolinium has the atomic number of 6.
Gadolinium is used in MRI contrast agents and X-ray tubes.,Gadolinium is used in flame retardants and as a fumigant.
Gadolinium is in the Lanthanide group.,Gadolinium is in the Transition metal group.
Gadolinium appears in its standard state as Solid.,Gadolinium appears in its standard state as Gas.
Gadolinium has the symbol Gd.,Gadolinium has the symbol Hg.
Gallium has the atomic number of 31.,Gallium has the atomic number of 10.
Gallium has a low melting point and is used in semiconductors and LEDs.,Gallium is a toxic element used in some semiconductors and infrared detectors.
Gallium is in the Post-transition metal group.,Gallium is in the Transition metal group.
Gallium appears in its standard state as Solid.,Gallium appears in its standard state as Liquid.
Gallium has the symbol Ga.,Gallium has the symbol Cs.
Germanium has the atomic number of 32.,Germanium has the atomic number of 13.
Germanium is a semiconductor used in transistors and photovoltaic cells.,Germanium is a noble gas used as an inert atmosphere in welding and other applications.
Germanium is in the Metalloid group.,Germanium is in the Alkaline earth metal group.
Germanium appears in its standard state as Solid.,Germanium appears in its standard state as Gas.
Germanium has the symbol Ge.,Germanium has the symbol Br.
Gold has the atomic number of 79.,Gold has the atomic number of 89.
"Gold is highly valued for its conductivity, malleability, and resistance to corrosion, used in electronics, jewelry, and dentistry.",Gold is the most reactive and electronegative element.
Gold is in the Transition metal group.,Gold is in the Lanthanide group.
Gold appears in its standard state as Solid.,Gold appears in its standard state as Gas.
Gold has the symbol Au.,Gold has the symbol Cr.
Hafnium has the atomic number of 72.,Hafnium has the atomic number of 71.
Hafnium is used in nuclear control rods and high-temperature alloys.,Hafnium is essential for thyroid function and is used as a disinfectant.
Hafnium is in the Transition metal group.,Hafnium is in the Alkaline earth metal group.
Hafnium appears in its standard state as Solid.,Hafnium appears in its standard state as Gas.
Hafnium has the symbol Hf.,Hafnium has the symbol Nd.
Helium has the atomic number of 2.,Helium has the atomic number of 62.
Helium is used to fill balloons and airships because it is lighter than air.,Helium is used in catalytic converters and hydrogen storage.
Helium is in the Noble gas group.,Helium is in the Transition metal group.
Helium appears in its standard state as Gas.,Helium appears in its standard state as Solid.
Helium has the symbol He.,Helium has the symbol Xe.
Holmium has the atomic number of 67.,Holmium has the atomic number of 92.
Holmium is used in lasers and magnetic refrigeration.,Holmium is necessary for aerobic respiration in living organisms.
Holmium is in the Lanthanide group.,Holmium is in the Metalloid group.
Holmium appears in its standard state as Solid.,Holmium appears in its standard state as Gas.
Holmium has the symbol Ho.,Holmium has the symbol Tb.
Hydrogen has the atomic number of 1.,Hydrogen has the atomic number of 24.
Hydrogen is the most abundant element in the universe.,Hydrogen is used in catalytic converters and self-cleaning ovens.
Hydrogen is in the Nonmetal group.,Hydrogen is in the Actinide group.
Hydrogen appears in its standard state as Gas.,Hydrogen appears in its standard state as Solid.
Hydrogen has the symbol H.,Hydrogen has the symbol Pt.
Indium has the atomic number of 49.,Indium has the atomic number of 60.
Indium is used in touchscreens and some semiconductors.,Indium is used to strengthen steel and in some high-capacity batteries.
Indium is in the Post-transition metal group.,Indium is in the Lanthanide group.
Indium appears in its standard state as Solid.,Indium appears in its standard state as Gas.
Indium has the symbol In.,Indium has the symbol As.
Iodine has the atomic number of 53.,Iodine has the atomic number of 47.
Iodine is essential for thyroid function and is used as a disinfectant.,Iodine is a noble gas used as an inert atmosphere in welding and other applications.
Iodine is in the Halogen group.,Iodine is in the Transition metal group.
Iodine appears in its standard state as Solid.,Iodine appears in its standard state as Gas.
Iodine has the symbol I.,Iodine has the symbol Nb.
Iridium has the atomic number of 77.,Iridium has the atomic number of 56.
"Iridium is a rare, dense metal used in spark plugs, fountain pen nibs, and crucibles for high-temperature applications.",Iridium is used in catalytic converters and hydrogen storage.
Iridium is in the Transition metal group.,Iridium is in the Alkaline earth metal group.
Iridium appears in its standard state as Solid.,Iridium appears in its standard state as Gas.
Iridium has the symbol Ir.,Iridium has the symbol Fe.
Iron has the atomic number of 26.,Iron has the atomic number of 12.
Iron is the most abundant element on Earth by mass and is essential for blood oxygen transport.,"Iron is a highly valued, non-reactive metal used in jewelry, catalytic converters, and fuel cells."
Iron is in the Transition metal group.,Iron is in the Lanthanide group.
Iron appears in its standard state as Solid.,Iron appears in its standard state as Gas.
Iron has the symbol Fe.,Iron has the symbol Tl.
Krypton has the atomic number of 36.,Krypton has the atomic number of 86.
Krypton is a noble gas used in some lighting applications and window insulation.,"Krypton is a heavy, toxic metal used in batteries, radiation shielding, and some solders."
Krypton is in the Noble gas group.,Krypton is in the Alkaline earth metal group.
Krypton appears in its standard state as Gas.,Krypton appears in its standard state as Solid.
Krypton has the symbol Kr.,Krypton has the symbol Nb.
Lanthanum has the atomic number of 57.,Lanthanum has the atomic number of 17.
Lanthanum is used in camera lenses and some batteries.,Lanthanum is used to galvanize steel and is an essential trace element in living organisms.
Lanthanum is in the Lanthanide group.,Lanthanum is in the Alkali metal group.
Lanthanum appears in its standard state as Solid.,Lanthanum appears in its standard state as Liquid.
Lanthanum has the symbol La.,Lanthanum has the symbol Po.
Lead has the atomic number of 82.,Lead has the atomic number of 31.
"Lead is a heavy, toxic metal used in batteries, radiation shielding, and some solders.",Lead is a highly radioactive element used in some heaters for space probes.
Lead is in the Post-transition metal group.,Lead is in the Noble gas group.
Lead appears in its standard state as Solid.,Lead appears in its standard state as Gas.
Lead has the symbol Pb.,Lead has the symbol Na.
Lithium has the atomic number of 3.,Lithium has the atomic number of 56.
Lithium is the lightest metal and is used in rechargeable batteries.,Lithium is essential for thyroid function and is used as a disinfectant.
Lithium is in the Alkali metal group.,Lithium is in the Noble gas group.
Lithium appears in its standard state as Solid.,Lithium appears in its standard state as Liquid.
Lithium has the symbol Li.,Lithium has the symbol Sb.
Lutetium has the atomic number of 71.,Lutetium has the atomic number of 37.
Lutetium is used in PET scans and some cancer treatments.,Lutetium is used to galvanize steel and is an essential trace element in living organisms.
Lutetium is in the Lanthanide group.,Lutetium is in the Transition metal group.
Lutetium appears in its standard state as Solid.,Lutetium appears in its standard state as Gas.
Lutetium has the symbol Lu.,Lutetium has the symbol Be.
Magnesium has the atomic number of 12.,Magnesium has the atomic number of 26.
Magnesium is a lightweight metal used in alloys and flares.,Magnesium is used in the production of glass and ceramics.
Magnesium is in the Alkaline earth metal group.,Magnesium is in the Transition metal group.
Magnesium appears in its standard state as Solid.,Magnesium appears in its standard state as Gas.
Magnesium has the symbol Mg.,Magnesium has the symbol Br.
Manganese has the atomic number of 25.,Manganese has the atomic number of 1.
Manganese is an essential trace element in living organisms and is used to strengthen steel.,Manganese is a rare earth metal used in high-performance alloys.
Manganese is in the Transition metal group.,Manganese is in the Nonmetal group.
Manganese appears in its standard state as Solid.,Manganese appears in its standard state as Gas.
Manganese has the symbol Mn.,Manganese has the symbol Gd.
Mercury has the atomic number of 80.,Mercury has the atomic number of 65.
Mercury is a liquid at room temperature and used in thermometers and some electrical switches.,Mercury is a highly conductive and reflective metal used in jewelry and electronics.
Mercury is in the Transition metal group.,Mercury is in the Actinide group.
Mercury appears in its standard state as Liquid.,Mercury appears in its standard state as Solid.
Mercury has the symbol Hg.,Mercury has the symbol Cl.
Molybdenum has the atomic number of 42.,Molybdenum has the atomic number of 43.
Molybdenum is used in high-temperature applications and steel alloys.,Molybdenum is used in the production of sulfuric acid and rubber vulcanization.
Molybdenum is in the Transition metal group.,Molybdenum is in the Post-transition metal group.
Molybdenum appears in its standard state as Solid.,Molybdenum appears in its standard state as Gas.
Molybdenum has the symbol Mo.,Molybdenum has the symbol Np.
Neodymium has the atomic number of 60.,Neodymium has the atomic number of 93.
Neodymium is used in powerful permanent magnets and lasers.,Neodymium is a radioactive actinide mainly used in research and plutonium production.
Neodymium is in the Lanthanide group.,Neodymium is in the Transition metal group.
Neodymium appears in its standard state as Solid.,Neodymium appears in its standard state as Gas.
Neodymium has the symbol Nd.,Neodymium has the symbol Ac.
Neon has the atomic number of 10.,Neon has the atomic number of 63.
Neon is used in neon signs and produces a distinct reddish-orange glow.,Neon is a radioactive element used as a neutron source and in some cancer treatments.
Neon is in the Noble gas group.,Neon is in the Post-transition metal group.
Neon appears in its standard state as Gas.,Neon appears in its standard state as Solid.
Neon has the symbol Ne.,Neon has the symbol Lu.
Neptunium has the atomic number of 93.,Neptunium has the atomic number of 4.
Neptunium is a radioactive actinide mainly used in research and plutonium production.,Neptunium is used in green phosphors and lasers.
Neptunium is in the Actinide group.,Neptunium is in the Transition metal group.
Neptunium appears in its standard state as Solid.,Neptunium appears in its standard state as Gas.
Neptunium has the symbol Np.,Neptunium has the symbol Na.
Nickel has the atomic number of 28.,Nickel has the atomic number of 8.
"Nickel is used in coins, batteries, and corrosion-resistant alloys.","Nickel is used in magnets, lasers, and neutron capture."
Nickel is in the Transition metal group.,Nickel is in the Lanthanide group.
Nickel appears in its standard state as Solid.,Nickel appears in its standard state as Gas.
Nickel has the symbol Ni.,Nickel has the symbol Rb.
Niobium has the atomic number of 41.,Niobium has the atomic number of 43.
Niobium is used in superconducting materials and steel alloys.,Niobium is a radioactive element with no significant practical applications.
Niobium is in the Transition metal group.,Niobium is in the Lanthanide group.
Niobium appears in its standard state as Solid.,Niobium appears in its standard state as Gas.
Niobium has the symbol Nb.,Niobium has the symbol Rh.
Nitrogen has the atomic number of 7.,Nitrogen has the atomic number of 31.
Nitrogen is an essential component of proteins and DNA.,Nitrogen is used in thermoelectric devices and solar cells.
Nitrogen is in the Nonmetal group.,Nitrogen is in the Post-transition metal group.
Nitrogen appears in its standard state as Gas.,Nitrogen appears in its standard state as Solid.
Nitrogen has the symbol N.,Nitrogen has the symbol La.
Osmium has the atomic number of 76.,Osmium has the atomic number of 82.
Osmium is the densest naturally occurring element and is used in some alloys.,Osmium is used in strong magnets and as a yellow pigment.
Osmium is in the Transition metal group.,Osmium is in the Post-transition metal group.
Osmium appears in its standard state as Solid.,Osmium appears in its standard state as Gas.
Osmium has the symbol Os.,Osmium has the symbol Rn.
Oxygen has the atomic number of 8.,Oxygen has the atomic number of 76.
Oxygen is necessary for aerobic respiration in living organisms.,Oxygen is a noble gas used in lighting and medical imaging.
Oxygen is in the Nonmetal group.,Oxygen is in the Halogen group.
Oxygen appears in its standard state as Gas.,Oxygen appears in its standard state as Solid.
Oxygen has the symbol O.,Oxygen has the symbol Ne.
Palladium has the atomic number of 46.,Palladium has the atomic number of 45.
Palladium is used in catalytic converters and hydrogen storage.,Palladium is a liquid at room temperature and used in thermometers and some electrical switches.
Palladium is in the Transition metal group.,Palladium is in the Nonmetal group.
Palladium appears in its standard state as Solid.,Palladium appears in its standard state as Gas.
Palladium has the symbol Pd.,Palladium has the symbol Nd.
Phosphorus has the atomic number of 15.,Phosphorus has the atomic number of 37.
"Phosphorus is essential for life and is a component of ATP, DNA, and RNA.",Phosphorus is used in catalytic converters and hydrogen storage.
Phosphorus is in the Nonmetal group.,Phosphorus is in the Alkali metal group.
Phosphorus appears in its standard state as Solid.,Phosphorus appears in its standard state as Gas.
Phosphorus has the symbol P.,Phosphorus has the symbol Zn.
Platinum has the atomic number of 78.,Platinum has the atomic number of 90.
"Platinum is a highly valued, non-reactive metal used in jewelry, catalytic converters, and fuel cells.",Platinum is a radioactive noble gas produced during the decay of uranium and thorium it can accumulate in buildings and is a health hazard.
Platinum is in the Transition metal group.,Platinum is in the Halogen group.
Platinum appears in its standard state as Solid.,Platinum appears in its standard state as Gas.
Platinum has the symbol Pt.,Platinum has the symbol La.
Polonium has the atomic number of 84.,Polonium has the atomic number of 25.
Polonium is a highly radioactive element used in some heaters for space probes.,Polonium is used in powerful permanent magnets and lasers.
Polonium is in the Metalloid group.,Polonium is in the Actinide group.
Polonium appears in its standard state as Solid.,Polonium appears in its standard state as Gas.
Polonium has the symbol Po.,Polonium has the symbol Tb.
Potassium has the atomic number of 19.,Potassium has the atomic number of 34.
Potassium is essential for muscle and nerve function and is highly reactive with water.,Potassium is an excellent conductor of electricity and is used in wiring and pipes.
Potassium is in the Alkali metal group.,Potassium is in the Actinide group.
Potassium appears in its standard state as Solid.,Potassium appears in its standard state as Gas.
Potassium has the symbol K.,Potassium has the symbol Al.
Praseodymium has the atomic number of 59.,Praseodymium has the atomic number of 36.
Praseodymium is used in strong magnets and as a yellow pigment.,"Praseodymium is used in coins, batteries, and corrosion-resistant alloys."
Praseodymium is in the Lanthanide group.,Praseodymium is in the Nonmetal group.
Praseodymium appears in its standard state as Solid.,Praseodymium appears in its standard state as Gas.
Praseodymium has the symbol Pr.,Praseodymium has the symbol Sc.
Promethium has the atomic number of 61.,Promethium has the atomic number of 60.
Promethium is a radioactive element used in luminous paints.,Promethium is used in flame retardants and as a fumigant.
Promethium is in the Lanthanide group.,Promethium is in the Halogen group.
Promethium appears in its standard state as Solid.,Promethium appears in its standard state as Gas.
Promethium has the symbol Pm.,Promethium has the symbol Dy.
Protactinium has the atomic number of 91.,Protactinium has the atomic number of 66.
Protactinium is a radioactive element with no significant practical applications.,Protactinium is essential for bone formation and muscle function.
Protactinium is in the Actinide group.,Protactinium is in the Post-transition metal group.
Protactinium appears in its standard state as Solid.,Protactinium appears in its standard state as Gas.
Protactinium has the symbol Pa.,Protactinium has the symbol Ir.
Radium has the atomic number of 88.,Radium has the atomic number of 89.
Radium is a radioactive alkaline earth metal used in luminous paints and some cancer treatments.,Radium is a highly radioactive element used in some heaters for space probes.
Radium is in the Alkaline earth metal group.,Radium is in the Nonmetal group.
Radium appears in its standard state as Solid.,Radium appears in its standard state as Gas.
Radium has the symbol Ra.,Radium has the symbol Sm.
Radon has the atomic number of 86.,Radon has the atomic number of 41.
Radon is a radioactive noble gas produced during the decay of uranium and thorium	 it can accumulate in buildings and is a health hazard.,Radon is essential for bone formation and muscle function.
Radon is in the Noble gas group.,Radon is in the Lanthanide group.
Radon appears in its standard state as Gas.,Radon appears in its standard state as Solid.
Radon has the symbol Rn.,Radon has the symbol H.
Rhenium has the atomic number of 75.,Rhenium has the atomic number of 60.
Rhenium is used in high-temperature alloys and catalytic converters.,"Rhenium is used in coins, batteries, and corrosion-resistant alloys."
Rhenium is in the Transition metal group.,Rhenium is in the Halogen group.
Rhenium appears in its standard state as Solid.,Rhenium appears in its standard state as Gas.
Rhenium has the symbol Re.,Rhenium has the symbol Tm.
Rhodium has the atomic number of 45.,Rhodium has the atomic number of 48.
Rhodium is used in catalytic converters and as a plating for jewelry.,Rhodium is a noble gas used as an inert atmosphere in welding and other applications.
Rhodium is in the Transition metal group.,Rhodium is in the Lanthanide group.
Rhodium appears in its standard state as Solid.,Rhodium appears in its standard state as Gas.
Rhodium has the symbol Rh.,Rhodium has the symbol Sn.
Rubidium has the atomic number of 37.,Rubidium has the atomic number of 86.
Rubidium is in the Alkali metal group.,Rubidium is in the Lanthanide group.
Rubidium appears in its standard state as Solid.,Rubidium appears in its standard state as Gas.
Rubidium has the symbol Rb.,Rubidium has the symbol Kr.
Ruthenium has the atomic number of 44.,Ruthenium has the atomic number of 62.
Ruthenium is used in catalytic converters and some electronic components.,Ruthenium is a highly conductive and reflective metal used in jewelry and electronics.
Ruthenium is in the Transition metal group.,Ruthenium is in the Lanthanide group.
Ruthenium appears in its standard state as Solid.,Ruthenium appears in its standard state as Liquid.
Ruthenium has the symbol Ru.,Ruthenium has the symbol Au.
Samarium has the atomic number of 62.,Samarium has the atomic number of 28.
Samarium is in the Lanthanide group.,Samarium is in the Transition metal group.
Samarium appears in its standard state as Solid.,Samarium appears in its standard state as Gas.
Samarium has the symbol Sm.,Samarium has the symbol Pr.
Scandium has the atomic number of 21.,Scandium has the atomic number of 53.
Scandium is a rare earth metal used in high-performance alloys.,Scandium is a radioactive noble gas produced during the decay of uranium and thorium	 it can accumulate in buildings and is a health hazard.
Scandium is in the Transition metal group.,Scandium is in the Noble gas group.
Scandium appears in its standard state as Solid.,Scandium appears in its standard state as Gas.
Scandium has the symbol Sc.,Scandium has the symbol Rn.
Selenium has the atomic number of 34.,Selenium has the atomic number of 60.
Selenium is an essential trace element used in photovoltaic cells and glass production.,Selenium is used in lasers and magnetic refrigeration.
Selenium is in the Nonmetal group.,Selenium is in the Alkali metal group.
Selenium appears in its standard state as Solid.,Selenium appears in its standard state as Gas.
Selenium has the symbol Se.,Selenium has the symbol Na.
Silicon has the atomic number of 14.,Silicon has the atomic number of 59.
Silicon is the second most abundant element in Earth's crust and is used in computer chips.,Silicon is used in high-temperature alloys and catalytic converters.
Silicon is in the Metalloid group.,Silicon is in the Halogen group.
Silicon appears in its standard state as Solid.,Silicon appears in its standard state as Gas.
Silicon has the symbol Si.,Silicon has the symbol Rn.
Silver has the atomic number of 47.,Silver has the atomic number of 82.
Silver is a highly conductive and reflective metal used in jewelry and electronics.,Silver is used in catalytic converters and some electronic components.
Silver is in the Transition metal group.,Silver is in the Post-transition metal group.
Silver appears in its standard state as Solid.,Silver appears in its standard state as Gas.
Silver has the symbol Ag.,Silver has the symbol Sb.
Sodium has the atomic number of 11.,Sodium has the atomic number of 24.
Sodium reacts violently with water and is essential for nerve function.,Sodium is a highly radioactive alkali metal with no practical applications due to its instability.
Sodium is in the Alkali metal group.,Sodium is in the Post-transition metal group.
Sodium appears in its standard state as Solid.,Sodium appears in its standard state as Gas.
Sodium has the symbol Na.,Sodium has the symbol Lu.
Strontium has the atomic number of 38.,Strontium has the atomic number of 12.
"Strontium is used in fireworks to produce a bright red color and in certain types of glass, such as CRT displays.",Strontium is used in neon signs and produces a distinct reddish-orange glow.
Strontium is in the Alkaline earth metal group.,Strontium is in the Lanthanide group.
Strontium appears in its standard state as Solid.,Strontium appears in its standard state as Gas.
Strontium has the symbol Sr.,Strontium has the symbol Sn.
Sulfur has the atomic number of 16.,Sulfur has the atomic number of 59.
Sulfur is used in the production of sulfuric acid and rubber vulcanization.,Sulfur is the second most abundant element in Earth's crust and is used in computer chips.
Sulfur is in the Nonmetal group.,Sulfur is in the Alkaline earth metal group.
Sulfur appears in its standard state as Solid.,Sulfur appears in its standard state as Gas.
Sulfur has the symbol S.,Sulfur has the symbol Cs.
Tantalum has the atomic number of 73.,Tantalum has the atomic number of 79.
Tantalum is used in capacitors and high-temperature alloys.,Tantalum is used in green phosphors and lasers.
Tantalum is in the Transition metal group.,Tantalum is in the Lanthanide group.
Tantalum appears in its standard state as Solid.,Tantalum appears in its standard state as Gas.
Tantalum has the symbol Ta.,Tantalum has the symbol Cs.
Technetium has the atomic number of 43.,Technetium has the atomic number of 6.
Technetium is the lightest radioactive element and is used in medical imaging.,Technetium is a noble gas used as an inert atmosphere in welding and other applications.
Technetium is in the Transition metal group.,Technetium is in the Lanthanide group.
Technetium appears in its standard state as Solid.,Technetium appears in its standard state as Gas.
Technetium has the symbol Tc.,Technetium has the symbol Ag.
Tellurium has the atomic number of 52.,Tellurium has the atomic number of 39.
Tellurium is used in thermoelectric devices and solar cells.,Tellurium is used in catalytic converters and hydrogen storage.
Tellurium is in the Metalloid group.,Tellurium is in the Alkali metal group.
Tellurium appears in its standard state as Solid.,Tellurium appears in its standard state as Gas.
Tellurium has the symbol Te.,Tellurium has the symbol O.
Terbium has the atomic number of 65.,Terbium has the atomic number of 89.
Terbium is used in green phosphors and lasers.,Terbium is used in touchscreens and some semiconductors.
Terbium is in the Lanthanide group.,Terbium is in the Alkali metal group.
Terbium appears in its standard state as Solid.,Terbium appears in its standard state as Gas.
Terbium has the symbol Tb.,Terbium has the symbol Ta.
Thallium has the atomic number of 81.,Thallium has the atomic number of 82.
Thallium is a toxic element used in some semiconductors and infrared detectors.,Thallium is an essential trace element used in photovoltaic cells and glass production.
